text,is_noisy_text
вообще школьное время вспоминаю всегда больше негативом положительными эмоциямивозможно складывалось потому учился старший брат закону жанра всегда отличником очень сильно ебланилс другой стороны тоже находил плюсы компания образовалась классе привет никита толя соня артемий очень сильно спасала постоянного негатива плохих ощущений пребывания школеу ладились отношения абсолютно со учителями кроме физрука учителя математики учителя информатики вообще воспринимали серьезно никогда хотя щас жизнь сложилась видимо зряпомню несколько историй забавных м классе прогуливал постоянно учительница английскому сказала желает больше видеть парах вообще ничего получится видим казино точно проиграла деньгив м классе встал гимне военных сборах какимто жестким политическим соображениям просто понимал зачем школе зале физры поднимать флаг стрелять мишеням следующие года отчитывали водили завучам потому ни извиняться ни принимать ошибки хотелне видел ничего плохогода вообще дикое время учился школе наверное сих пор считается лучшей городе новаторскими говорили идеями взгляд абсолютным позерствомучительница литературе нравилась кажется взаимная симпатия никогда особо учился всегда тянулся информации дает целом интересноно конечно самое лучше мужиками после школы идти зимой снежками бросаться потом тренировку после уроков туалет снюсика вкинуть просто невероятно долго смеятся задней парте пока класса выгонятникогда учеником прям смиренным казалось всегда слушали крайней мере точно слышалихочется моментами вернуться поговорить обсудить некоторые вещи учителями особенно скучаю коневой нм удивительная женщина невероятно понимающая добрая побольше такихв общем знаю посмотрел отзывы прям ностальгия пошла какаято задуматься тока тока закончил магистратуру скоро быстро както пролетелопервая сильная любовь первая боль серьезная спорт пацаны со двора постоянные гулянки курение сигарет парке возле школы лыжи кайф конечнощас иногда думаю учился слушал пытался черпать информацию много упустил задуматься понять никуда возвращался ни жалею лучшее чувство свете доброго вечера,True
зашел почитать отзывы школу интернете,True
щас пришла идея команду разработки штуки рамках зя вообще наверное интересно сделать целое вещей кажется сфере продаж достаточно распространенная функция,True
очень смешно,True
понимаете просто замечательно сотрудников потом продавали создание иных вещей напрямую делают хуже дистанции портят репутация сотрудников потому разработка сервиса вычленения опасных слов список слов скорее неудобный стране ставит крест создателе завернуто красивую подарочную упаковку помогу делаем добрые вещи просто сказано покупаю вашу лояльность продать деньги вопросов тогда нужно уточнять чьи скорее работать молодые амбициозные захотят,True
последние дня адски разрывается жопа насколько люди видят совершенно очевидных вещей видят просто молчат уходят очень важной темынедавно случился прецедент вызвал лично гору непонимания плотного осуждения раскрывать ни людей ни проекты просто смоделируем гипотетическую ситуацию страна компания угодно завод университет школа больница человек ерьмо человек выдает задание дом подчиненным ребята организуйте стратегическое мероприятие конечно направлено выявление лучших качеств сотрудников кстати победе можно даже получить деньги составляется техническое задание разрабатывается план мероприятия начинается массовая рассылка массовой рассылке узнается мероприятие спонсируемое госденьгами ничего против имею деле неплохой контракт имиджа кармана предприятия кармана частности человека ничего узнается условиям задания нужно откровенно ебать рот свободу слова нужно унижаться облизать задницу чьи деньги получили конечно нужно сделать ни даже шанса высказать ничего негативного адрес страны доблестных героев ситуация вроде чертиков простая сейчас вроде привыкли тут начинается обстрел новыми мероприятиями любого человека обойма заряжена выстрел выстрелом соревнование соревнование новогодний огонек молодых амбициозных лекция корпоратив очень круто человек оставался человеком сделал раньше полностью уничтожило невероятного активиста человека хочет сделать жизнь сотрудников компании лучше сказочке конеци настолько невероятно прошло буквально дня люди забыли какой пиздец произошел человек пытался продвигать либо массовая амнезия неготовность отказать желание остаться пригретом месте общем угодно кроме адекватной реакции поведение демона вурдалака хорошо понимаю большинство людей просто смирились ок прятать мнение под игрой молчанку созывать более молодых непонимающих звучит массовый бред ведь можно купить пиром время чумы,True
поводу зеркала думаете,True
выбрал,True
скоро заканчивается ремонт квартире настала пора выбирать мебельподскажите пожалуйста где можно купить адекватный матрас одеяло подушки кровать кухней благо разобрались,True
начинаем тихонько писать аннотацию приступать дипломудекабрь безумно сложный надо дозакрыть учебу закрыть рабочие проекты интеграции другими странами закрыть сторонние проекты начинать выгребать конфлюенса материалы написания дипломном работына деле скажешь вотвот основной пласт обучения закончен времечко таки прекрасное моментами дикоеначинаю серьезней задумываться над планами магистратуру дай бог загадал получится всегда вариант остаться родных стенах подумать время боялся закончить первый семестр думал специальность полностью смогу время показывает ученье труд,True
девочки мальчики играем,True
сказали лет назад,True
лет назад встретили сегодняшнего обрадовались огорчились,True
невероятно люблю серость становлюсь каким сконцентрированным внимательным отличный сезон начался,True
полтора года назад самым грустным одновременно интересным летом жизни запой читал кэмпбелла тысячеликий геройя скажу понял книге достаточно много мифологий религий историй взгляд самым важным автор выделяет общее отрезает куски пытается унифицировать автор выделяет архетип героя производит глубокий анализ основе множества историй выявляет общее рассказывает нюансахво исследовании кэмпбелл выделяет иисуса христа самым популярным массовым культуре персонажем полностью отражает геройский архетипдаже татуировки набил настолько впечатлилои вопрос веры всегда стоял достаточно критично любые отклонения нормы порицались божественным непониманием года взросления модным хуесосить верующих людей самые умные никогда подумал серьезно начну думать над проблемой годамя посмотрел множество материала про религию разборы разных произведений критически важным стала сага винланде смеяться мало понравился второй сезон потому про сражения постоянное кровопролитие про результат осмысление прошлого про человек должен трудиться исцелить людей причинил боль врагов достаточно популярная фраза больше прихожу прямо сейчас очень давно испытываю негатив людям какието рабочие моменты негатив трудовой личностный желания когото обидеть причинить боль хочу применять насилие людям желания обратны хочу создавать вещи приносят пользу хочу аккумулировать столько ресурсов сколько смогу направить помощь людям близким нужны силы становиться лучше пытаться делать мир вокруг лучше жизненные цели сейчас последнее время люди любят говорить жить нужно понимаю кажется жить нужно счастливым делать климат вокруг счастливым иначе зачем мире милом достаточно странная позицияи вера понимаете вера вера людей рядом вера завтра утра сдамся продолжу споткнусь люди поддержат,True
подсобить родителям поступки требуют зрителейты поднялся слова совсем зовёшь таксиста водителемзанял денег проблема хоуми надеюсь лукавишь просьбенахуй левых много посторонников много постироний хожу пробы театров,True
самый стильный звук пятницы,True
начал читать книги про надеюсь смогу написать какойто гига пост прочитанному материалуесть планах побольше разобраться проблеме знать техническое тонкости таки вещь простой безумно интересной системойписал года назад про частенько тогда зеленый рассказывать нечего тогда базовое казалось безумно интереснымвообще оглядываясь назад понимаю первая работа эталоном первого места друзья свободный разговор каждую пятницу пьем курим кальян играем настолки года после сих пор хватаетхочу ребятами также выстраивать процесс безумно комфортно видно абсолютно заинтересованыв общем раз спасибо пацанам прометеуса интеграцию мир крипты наверное благодаря щас слежу занимаюсь интересными вещами плане плане криптанства,True
деле ебануто нравится актив тг канала готовы ночи скидывать треки щас играют наушникахникогда хотелось превращаться щитпост историю где человек активные дай бог спасибо читаете комментируете очень приятновсех обнял,True
скиньте слушаете щас чета день песне земфиры,True
ставьте клоунов сколько хотите бустите главное,True
тон установил рекорд обработке транзакций сих пор тратите бабки мемы мусор,True
круто подрубили ытеперь можно пользоваться прочими вещами телега ебет видит,True
короче довольно странный пост просто голове сих пор пытаюсь выстроить принципы хочу двигаться дальше командойиногда мысли записываю выходит чтото заметокидея принцип технология строится огромное количество современных проектовбез технологии идея имеет смысла без хорошей цепочки правил принципов жизни идея разваливается карточный домик без души технология остается просто технологиейесли выпадаете хотя института скорее чтото идет покидает команда разочаровываетесь основе начинали строить выпускаете проект умираете паутине мошкаесть исключения три слова выдумывают великая идея без искренности смерть делать вещи благо общества без веры смерть пытаться строить платформы людяхбез надобности смерть много вещей приводит смерти умереть можно разномуумереть можно честью достоинством умереть можно тихо причинив никому вреда умереть можно забрав огромное количество ресурсов ресурсы люди средства времяи сожалению умирая забирать стало привычной нормой всегда тут писал верю идеи людей проекты чтото стоит хоть миллиард раз уверять обратном никогда мыслей отказывалсяи про технологии понятно людьми сложнее влюбиться делает человек жизнь положил кон влил миллиард труда верить тысячу придурков делают вид общие идеалы ценности ставите кон проверяйте лодке иногда окажется перевернутьсяхороший мысленный процесс вернул жизнь какоето время назад просто подумать над несколькими вопросами,True
золотым яблоком пользуйтесь седня пж,True
обожаю питерскую осень деле чувство разочарования дарит дальнейшему году намного проще относишьсянапоминает школьные времена встаешь рано моешься под горячей водой будто растекаешься просто бежишь школку урок математики засыпаешь прямо там конечно вообще время отличное тогда поскорее забыть хотелось щас встаю растекаюсь поспал мало сажусь компутер делаю дела поменялось факту мало привычном понимании конечно осень всегда время грусти осознания года прочих вещей щас грущу тоже хорошему доброму знаете смотришь небо серое приятно становится какой серый красивый санктпетербург вообщевсем добра друзья надеюсь порядке,True
карьеру разработчика преследуют пятам эксель таблицыя честно больше молчать невероятно плохо каждый раз приходится сталкиватьсяв электронном варианте виде аналоговом виде делается таблицами вызывает искреннее разочарование апатиюя думал уйти бекенд таблицы закончатся придется просто отдавать данные автогенерация отчетов шаблонам тут тутмы использовать сторонние решения ненужно зачем шаблонизаторы давай сделаем руками раб жалкий заложник обстоятельств очередной раз пытаюсь спутать колонку строчкой сделать правильно,True
лан,True
снова добавлен скорее перезалили приложение бэкдорами цру любом случае свиноблок успел написать позвонил пентагон хантеру байдену приложение удалили теперь придется оправдываться,True
пампам,True
подругой пойдем эльбрус летомя очень люблю спонтанные вещи обычно три этапа происходитувидел делаем делаеми щас также собираю деньги экипу начинаю смотреть готовиться морально физически держать форме звучит достаточно интересноу отец восходил лет назад сказал дошел изза коньяка всякий случай ультимативный вариант возьму получится силамиесли комуто интересно закупке экипировки тренировкам мыслям самой поездке пишите вести документалку,True
второй этап проекта сдан экватор пройден осталось терпеть потом потерпетьза два месяца сильно осозналось важность продуманных структурированных бизнес процессов разработчик пока похвастаться глубокими знаниями стараюсь насколько могубольшое количество проблем оверворки прочие неприятные вещи получилось избежать итогу зато хороший итог хотят развиваться убирать проблемы пока никто отваливается происходит достаточно френдлидо конца след этапа должны выкатить готовый магазин без какихто доп фишек каждым месяцем сил желаний меньше выбрали путь ухода найма продолжаем терпетьв планах провести большое ретро оказалось давать пизды всегда необходимостью даже пацаны хотели хотел сказали без безумно сложно пытаться надеюсь получится добьем третий этап след месяце,True
тим крайне крутой мужикочень простой поговорили про образование чуть чуть трепетно отвечал вопросы ребят зала мероприятие прошло отлично очень понравилось,True
сделали,True
канал стал чемто совсем стало меньше настоящего ощущаю изза последние постов просто какаято каша всегоя правда поменялся сторону убедительно влил мысль никто хочет слышать поражениях хочу слышать поражениях хочу говорить показывать подходили много человек говорили любят читать канал черпать мотивацию очень приятно мотивирую иногда тоже приходится делать работу над ошибками сейчас хочется окончательно сделать срез закрыть большинство проблем голове пока хуже стало сказать готовьте листочки пишем контрольную работу тему исправить просто ломал,True
деле последние дни даче разгребал мелкие дела учебеработе сегодня выдал часовой рабочий спринт сделал почти кроме многопоточки воскресенье поеду сдавать права раз щас опять вопросов сутки попробую сдать снова последний месяц бешеный события времени почти былоя ввел краткий курс дела сейчас хочу поделиться мыслями ребятами снимаем шуточные подкасты рано поздно увидят свет отрывками вне зависимости насколько ужасные материалу там отличный черный юмор стеб ирония покрываются некоторые темы отпустить очередной раз думаю поводу взаимоотношений людьми выделяю большую черту многом страх неудачи уничтожили надежды желания оставаться многими приятными людьми хорошем контакте правда принял сейчас насколько глупо очевидно настолько дисциплину характер никак переложить простые вещи перспективе намного важнее карьера деньги очень жалею случаях знает со ошибки знаю точно причинял меньше боли причинил комуто иногда бывает нелегко любитьиногда любят далеко речь про любовь романтическом понимании числе почему думал никак скажется никак отразится жизни сейчас самое важное остановить остановили очень сильно вернуло обратно ад находился сейчас неплохо непреодолимое желание поговорить со успел целенаправленно стал убежав уплыв далеко куда мосты поджег забыл говорится учись чужих ошибках дурак дальше знаете давно плохого настроения давно настоящему перевести голову ощущения будто год просто заглушаю историю хотя конечно без живется проще приоритет реализовать давно хочется нибудь научиться совмещать извините пост правда знаю большинство тут постов про успешный успех пока сдаём второй этап проекта отлично работе получается хорошо занимаюсь также спортом сдаюсь играю долгую просто хочется нормально подумать над жизни деньгами пофиксишь доброго вечера,True
